,ra,dec,name,major_axis,minor_axis,pa
151,275.72577,-26.82139,NGC 6620,26.0869565217,26.0869565217,0.0
152,264.981,-21.2365,H 2-16,26.0869565217,26.0869565217,0.0
153,273.31677,-25.50138,M 2-31,26.0869565217,26.0869565217,0.0
154,267.15579,-22.28022,Th 4-3,26.0869565217,26.0869565217,0.0
156,273.581,-25.3471,KFL 15,26.0869565217,26.0869565217,0.0
157,268.983,-22.98361,HaTr 8,26.0869565217,26.0869565217,0.0
158,266.89136,-21.78975,H 2-22,26.0869565217,26.0869565217,0.0
159,265.86978,-21.16425,H 2-18,26.0869565217,26.0869565217,0.0
160,274.55566,-25.63581,Pe 2-13,26.0869565217,26.0869565217,0.0
161,268.17267,-22.36579,M 1-31,26.0869565217,26.0869565217,0.0
162,275.751,-26.0877,SB 13,26.0869565217,26.0869565217,0.0
163,273.14157,-24.83341,H 1-61,26.0869565217,26.0869565217,0.0
164,266.95443,-21.53947,PN PBOZ 29,26.0869565217,26.0869565217,0.0
165,272.37733,-24.20833,M 1-41,26.0869565217,26.0869565217,0.0
166,278.73022,-27.10503,Al 1,26.0869565217,26.0869565217,0.0
167,273.61976,-24.72721,H 2-45,26.0869565217,26.0869565217,0.0
168,268.09425,-21.85381,Th 4-7,26.0869565217,26.0869565217,0.0
170,268.40461,-21.97865,Pe 2-10,26.0869565217,26.0869565217,0.0
171,276.99835,-26.11341,Vy 2-1,26.0869565217,26.0869565217,0.0
172,264.54828,-19.62712,M 1-24,26.0869565217,26.0869565217,0.0
173,276.239,-25.6986,H 1-66,26.0869565217,26.0869565217,0.0
174,268.77929,-21.7445,IC 4670,26.0869565217,26.0869565217,0.0
175,263.79266,-18.57234,M 1-22,26.0869565217,26.0869565217,0.0
176,264.34167,-18.7783,M 1-23,26.0869565217,26.0869565217,0.0
177,275.927,-24.7912,SB 14,26.0869565217,26.0869565217,0.0
178,274.31644,-23.98181,M 2-34,26.0869565217,26.0869565217,0.0
179,275.03687,-24.25141,H 1-65,26.0869565217,26.0869565217,0.0
180,267.31363,-20.00957,NGC 6445,32.999998703598976,32.999998703598976,0.0
181,275.50479,-24.17783,M 2-39,26.0869565217,26.0869565217,0.0
182,275.63368,-24.15767,M 2-42,26.0869565217,26.0869565217,0.0
183,272.10831,-22.28146,M 1-40,26.0869565217,26.0869565217,0.0
184,278.14435,-25.12889,NGC 6644,26.0869565217,26.0869565217,0.0
185,274.59961,-23.41587,H 1-64,26.0869565217,26.0869565217,0.0
186,277.97018,-24.77126,Hen 2-406,26.0869565217,26.0869565217,0.0
187,273.71204,-22.73206,MaC 1-11,26.0869565217,26.0869565217,0.0
188,266.54025,-18.65842,Th 4-2,26.0869565217,26.0869565217,0.0
189,271.035,-20.9515,GLMP 707,26.0869565217,26.0869565217,0.0
190,269.00244,-19.49072,Th 4-9,26.0869565217,26.0869565217,0.0
191,267.7384,-18.78004,Th 4-6,26.0869565217,26.0869565217,0.0
192,281.17969,-25.3594,M 3-32,26.0869565217,26.0869565217,0.0
193,276.42688,-23.20294,NGC 6629,26.0869565217,26.0869565217,0.0
194,277.08859,-23.42376,SB 16,26.0869565217,26.0869565217,0.0
195,282.05054,-25.48122,M 3-33,26.0869565217,26.0869565217,0.0
196,258.51801,-12.91047,NGC 6309,26.0869565217,26.0869565217,0.0
197,262.25815,-15.21811,Abell 41,26.0869565217,26.0869565217,0.0
198,276.27072,-22.58129,H 1-67,26.0869565217,26.0869565217,0.0
199,271.30441,-19.84302,NGC 6537,26.0869565217,26.0869565217,0.0
200,268.02,-17.6016,M 2-17,26.0869565217,26.0869565217,0.0
201,269.277,-18.1115,Th 4-10,26.0869565217,26.0869565217,0.0
202,265.50836,-15.93541,Sa 2-230,26.0869565217,26.0869565217,0.0
203,278.47763,-22.6447,IC 4732,26.0869565217,26.0869565217,0.0
204,278.71524,-22.72138,Pe 1-13,26.0869565217,26.0869565217,0.0
205,274.06882,-20.45074,NGC 6578,26.0869565217,26.0869565217,0.0
206,266.72687,-16.29022,M 2-15,26.0869565217,26.0869565217,0.0
207,267.08249,-16.47895,NGC 6439,26.0869565217,26.0869565217,0.0
208,277.29648,-21.78151,M 1-47,26.0869565217,26.0869565217,0.0
209,262.14246,-13.43912,M 2-13,26.0869565217,26.0869565217,0.0
210,280.08304,-22.90814,SB 17,26.0869565217,26.0869565217,0.0
211,281.6463,-23.44675,My 121,26.0869565217,26.0869565217,0.0
212,270.03674,-17.6787,Th 4-11,26.0869565217,26.0869565217,0.0
213,256.73,-9.78366,DeHt 10,26.0869565217,26.0869565217,0.0
214,279.67938,-22.40388,SB 18,26.0869565217,26.0869565217,0.0
215,273.43817,-19.07614,NGC 6567,26.0869565217,26.0869565217,0.0
216,272.9537,-18.77269,M 1-43,26.0869565217,26.0869565217,0.0
217,269.08325,-16.48443,M 1-32,26.0869565217,26.0869565217,0.0
218,268.58792,-15.93105,PM 1-188,26.0869565217,26.0869565217,0.0
219,282.60846,-22.57293,M 1-62,26.0869565217,26.0869565217,0.0
220,275.78326,-19.28479,M 1-45,26.0869565217,26.0869565217,0.0
221,277.49768,-19.67713,Pe 2-14,26.0869565217,26.0869565217,0.0
222,269.74496,-15.53744,M 1-33,26.0869565217,26.0869565217,0.0
224,277.37497,-19.09572,M 1-48,26.0869565217,26.0869565217,0.0
225,288.5465,-23.69,We 4-5,26.0869565217,26.0869565217,0.0
226,281.39704,-20.58322,PC 21,26.0869565217,26.0869565217,0.0
227,276.51533,-18.20958,SaWe 3,26.0869565217,26.0869565217,0.0
228,279.13475,-19.32422,V-V 3-5,26.0869565217,26.0869565217,0.0
229,281.00735,-19.91459,M 3-31,26.0869565217,26.0869565217,0.0
230,279.2962,-19.03932,V-V 3-6,26.0869565217,26.0869565217,0.0
231,279.9169,-19.23668,SB 19,26.0869565217,26.0869565217,0.0
232,278.33704,-18.27691,M 1-50,26.0869565217,26.0869565217,0.0
233,278.33704,-18.27691,M 1-50,26.0869565217,26.0869565217,0.0
235,277.29694,-17.45358,SaSt 3-166,26.0869565217,26.0869565217,0.0
236,268.60971,-12.80944,K 2-5,26.0869565217,26.0869565217,0.0
237,278.9514,-17.6023,M 1-53,26.0869565217,26.0869565217,0.0
238,277.545,-16.7557,Abell 44,26.0869565217,26.0869565217,0.0
239,271.8779,-13.47989,M 1-39,26.0869565217,26.0869565217,0.0
240,262.87112,-8.31949,Abell 42,26.0869565217,26.0869565217,0.0
241,279.03482,-16.99917,M 1-54,26.0869565217,26.0869565217,0.0
242,279.44272,-17.09626,M 1-56,26.0869565217,26.0869565217,0.0
243,276.98474,-15.54845,M 1-46,26.0869565217,26.0869565217,0.0
244,282.12668,-17.73188,SB 22,26.0869565217,26.0869565217,0.0
245,277.33261,-15.12777,Sa 3-134,26.0869565217,26.0869565217,0.0
246,265.56012,-8.72184,GLMP 621,26.0869565217,26.0869565217,0.0
248,282.55493,-17.03932,SB 23,26.0869565217,26.0869565217,0.0
249,276.80579,-14.14294,VSP 2-18,26.0869565217,26.0869565217,0.0
250,285.25579,-18.20431,Abell 51,26.0869565217,26.0869565217,0.0
251,278.49393,-14.87362,M 1-52,26.0869565217,26.0869565217,0.0
252,280.312,-15.5615,M 3-30,26.0869565217,26.0869565217,0.0
254,278.26559,-13.73888,M 3-54,26.0869565217,26.0869565217,0.0
255,273.03995,-10.71619,M 4-8,26.0869565217,26.0869565217,0.0
256,272.61005,-10.48466,M 3-52,26.0869565217,26.0869565217,0.0
257,280.60321,-14.25328,PM 1-251,26.0869565217,26.0869565217,0.0
258,278.55775,-13.20685,M 4-10,26.0869565217,26.0869565217,0.0
259,281.47969,-14.46053,M 1-61,26.0869565217,26.0869565217,0.0
262,273.82071,-10.1693,M 3-25,26.0869565217,26.0869565217,0.0
263,280.90878,-13.74684,M 1-60,26.0869565217,26.0869565217,0.0
265,271.74911,-8.92578,CTS 1,26.0869565217,26.0869565217,0.0
266,276.03287,-11.11169,M 3-53,26.0869565217,26.0869565217,0.0
267,277.56427,-11.61595,Abell 45,26.0869565217,26.0869565217,0.0
268,276.492,-10.75791,PM 1-231,26.0869565217,26.0869565217,0.0
269,282.68463,-13.51727,Sa 1-8,26.0869565217,26.0869565217,0.0
270,278.37083,-11.124,M 1-51,26.0869565217,26.0869565217,0.0
271,282.87891,-13.17689,M 1-63,26.0869565217,26.0869565217,0.0
272,281.0257,-12.2154,We 1-7,26.0869565217,26.0869565217,0.0
273,278.31155,-10.2554,M 3-55,26.0869565217,26.0869565217,0.0
274,278.17203,-10.09723,M 3-28,26.0869565217,26.0869565217,0.0
275,275.33798,-8.52842,MaC 1-12,26.0869565217,26.0869565217,0.0
276,281.76648,-11.68659,AS 321,26.0869565217,26.0869565217,0.0
277,280.73743,-11.11475,M 1-58,26.0869565217,26.0869565217,0.0
278,280.08438,-10.6631,M 1-57,26.0869565217,26.0869565217,0.0
279,277.14685,-8.72301,MaC 1-13,26.0869565217,26.0869565217,0.0
280,273.80579,-6.95339,MA 2,26.0869565217,26.0869565217,0.0
281,274.45575,-6.80599,MA 3,26.0869565217,26.0869565217,0.0
282,285.3407,-11.97222,MaC 1-16,26.0869565217,26.0869565217,0.0
283,280.28046,-8.93305,K 3-11,26.0869565217,26.0869565217,0.0
284,277.62662,-7.46064,MA 13,26.0869565217,26.0869565217,0.0
285,280.83408,-9.08018,M 1-59,26.0869565217,26.0869565217,0.0
286,275.34937,-6.03216,M 2-40,26.0869565217,26.0869565217,0.0
287,273.57651,-4.98925,M 4-9,26.0869565217,26.0869565217,0.0
288,283.574,-10.0869,M 4-11,26.0869565217,26.0869565217,0.0
289,281.95334,-9.15193,Pe 1-17,26.0869565217,26.0869565217,0.0
290,281.64426,-8.46718,M 2-46,26.0869565217,26.0869565217,0.0
293,283.58334,-8.79255,K 4-8,26.0869565217,26.0869565217,0.0
294,283.65423,-8.82732,IC 1295,90.00000134110451,90.00000134110451,0.0
296,281.6025,-7.24286,Pe 1-15,26.0869565217,26.0869565217,0.0
297,280.53351,-6.68203,Pe 1-14,26.0869565217,26.0869565217,0.0
299,281.36475,-6.94929,Pe 2-15,26.0869565217,26.0869565217,0.0
300,281.88437,-6.90098,Pe 1-16,26.0869565217,26.0869565217,0.0
301,282.436,-7.0264,Pe 1-19,26.0869565217,26.0869565217,0.0
302,281.40231,-6.30954,K 4-5,26.0869565217,26.0869565217,0.0
303,282.19357,-5.9353,Pe 1-18,26.0869565217,26.0869565217,0.0
304,283.36792,-6.47875,Abell 49,26.0869565217,26.0869565217,0.0
305,283.5079,-6.43884,Vy 1-4,26.0869565217,26.0869565217,0.0
306,289.11758,-9.04349,IC 4846,26.0869565217,26.0869565217,0.0
307,265.42101,3.11525,DeHt 2,26.0869565217,26.0869565217,0.0
308,276.66687,-2.71601,M 2-43,26.0869565217,26.0869565217,0.0
309,279.84097,-4.33081,M 2-45,26.0869565217,26.0869565217,0.0
310,271.5032,0.37738,WeSb 3,26.0869565217,26.0869565217,0.0
311,284.3223,-5.99772,Pe 1-20,26.0869565217,26.0869565217,0.0
312,276.25241,-1.51462,K 3-2,26.0869565217,26.0869565217,0.0
313,279.40378,-3.09888,M 2-44,26.0869565217,26.0869565217,0.0
314,278.55671,-2.46028,K 3-7,26.0869565217,26.0869565217,0.0
315,284.45709,-5.46115,Pe 1-21,26.0869565217,26.0869565217,0.0
316,280.69547,-3.22147,Abell 48,26.0869565217,26.0869565217,0.0
317,281.22244,-3.34247,TDC 1,26.0869565217,26.0869565217,0.0
318,286.48151,-5.99248,NGC 6751,26.0869565217,26.0869565217,0.0
319,288.48206,-6.3145,LSA 1,26.0869565217,26.0869565217,0.0
320,278.84402,-0.23047,Abell 47,26.0869565217,26.0869565217,0.0
321,278.32288,0.19644,K 3-6,26.0869565217,26.0869565217,0.0
