#EXPID	Flag	comments
#Flags: 1=possibly saturated; 2=clouds; 3=other source
488241 expfactor=0.292  seeing=1.906
488243 expfactor=0.254  seeing=1.855
488244 expfactor=0.103  seeing=1.856
488245 expfactor=0.150  seeing=2.038
488247 expfactor=0.190  seeing=2.144
488248 expfactor=0.243  seeing=1.935
488250 expfactor=0.223  seeing=2.023
488251 expfactor=0.151  seeing=2.089
488252 expfactor=0.171  seeing=2.158
488253 expfactor=0.186  seeing=2.037
488254 expfactor=0.151  seeing=2.115
488255 expfactor=0.218  seeing=1.849
488256 expfactor=0.102  seeing=1.927
488257 expfactor=0.030  seeing=2.123
488258 expfactor=0.098  seeing=1.738
488259 expfactor=0.037  seeing=1.717
488260 expfactor=0.089  seeing=1.550
488261 expfactor=0.179  seeing=1.524
488262 expfactor=0.044  seeing=1.525
488263 expfactor=0.204  seeing=1.503
488264 expfactor=0.047  seeing=1.378
488265 expfactor=0.025  seeing=1.636
488266 expfactor=0.043  seeing=1.929
488267 expfactor=0.059  seeing=1.725
488268 expfactor=0.070  seeing=1.914
488269 expfactor=0.010  seeing=2.054
488270 expfactor=0.099  seeing=1.939
488271 expfactor=0.027  seeing=1.864
488272 expfactor=0.019  seeing=1.844
488273 expfactor=0.004  seeing=2.010
488274 expfactor=0.008  seeing=1.697
496913 expfactor=0.183  seeing=2.855
496914 expfactor=0.231  seeing=2.686
496915 expfactor=0.222  seeing=2.795
496916 expfactor=0.223  seeing=2.813
496917 expfactor=0.324  seeing=3.115
496918 expfactor=0.334  seeing=3.077
496919 expfactor=0.367  seeing=2.956
496920 expfactor=0.304  seeing=3.129
496921 expfactor=0.428  seeing=2.881
496922 expfactor=0.388  seeing=2.860
496923 expfactor=0.334  seeing=2.929
496924 expfactor=0.334  seeing=2.988
496925 expfactor=0.344  seeing=3.044
496926 expfactor=0.412  seeing=2.923
496927 expfactor=0.385  seeing=3.054
496928 expfactor=0.396  seeing=2.975
496929 expfactor=0.368  seeing=3.196
496930 expfactor=0.390  seeing=3.066
497082 expfactor=0.269  seeing=1.229
509116 expfactor=0.181  seeing=2.251
509117 expfactor=0.148  seeing=2.610
509120 expfactor=0.224  seeing=2.070
509121 expfactor=0.093  seeing=3.042
509122 expfactor=0.232  seeing=2.594
509124 expfactor=0.264  seeing=1.920
509127 expfactor=0.228  seeing=2.002
509129 expfactor=0.185  seeing=2.816
509130 expfactor=0.377  seeing=2.684
509132 expfactor=0.102  seeing=3.314
509133 expfactor=0.255  seeing=3.056
509134 expfactor=0.085  seeing=3.628
509135 expfactor=0.262  seeing=3.114
509136 expfactor=0.086  seeing=3.607
509137 expfactor=0.222  seeing=3.056
509138 expfactor=0.124  seeing=2.986
509139 expfactor=0.200  seeing=2.507
509146 expfactor=0.285  seeing=2.159
509153 expfactor=0.389  seeing=2.664
509154 expfactor=0.163  seeing=2.807
509155 expfactor=0.181  seeing=2.763
509156 expfactor=0.316  seeing=3.028
509157 expfactor=0.198  seeing=3.590
509158 expfactor=0.094  seeing=3.607
509159 expfactor=0.082  seeing=3.743
509160 expfactor=0.247  seeing=3.336
509161 expfactor=0.157  seeing=3.824
509162 expfactor=0.124  seeing=3.256
509163 expfactor=0.105  seeing=3.508
509164 expfactor=0.224  seeing=3.464
509165 expfactor=0.328  seeing=3.095
509166 expfactor=0.166  seeing=3.017
509167 expfactor=0.090  seeing=3.654
509168 expfactor=0.250  seeing=3.288
509169 expfactor=0.159  seeing=3.874
509170 expfactor=0.074  seeing=3.896
509171 expfactor=0.236  seeing=3.470
509172 expfactor=0.060  seeing=4.212
509173 expfactor=0.144  seeing=3.159
509174 expfactor=0.199  seeing=3.611
509175 expfactor=0.242  seeing=3.488
509176 expfactor=0.067  seeing=4.148
509177 expfactor=0.093  seeing=3.659
509178 expfactor=0.240  seeing=3.464
509179 expfactor=0.446  seeing=2.783
509180 expfactor=0.114  seeing=3.418
509181 expfactor=0.511  seeing=2.682
509182 expfactor=0.062  seeing=4.262
509183 expfactor=0.166  seeing=2.988
509185 expfactor=0.519  seeing=2.551
509186 expfactor=0.215  seeing=2.672
509187 expfactor=0.231  seeing=2.670
509193 expfactor=0.214  seeing=2.771
509200 expfactor=0.175  seeing=2.009
509202 expfactor=0.101  seeing=1.960
509203 expfactor=0.076  seeing=1.882
509478 expfactor=0.246  seeing=2.344
509480 expfactor=0.201  seeing=2.888
509481 expfactor=0.251  seeing=2.388
509482 expfactor=0.277  seeing=2.593
509484 expfactor=0.209  seeing=2.568
509485 expfactor=0.238  seeing=2.684
510555 expfactor=0.262  seeing=2.323
510601 expfactor=0.293  seeing=1.931
510882 expfactor=0.297  seeing=1.334
510885 expfactor=0.204  seeing=1.454
510886 expfactor=0.217  seeing=1.658
510889 expfactor=0.147  seeing=1.658
510890 expfactor=0.118  seeing=1.609
510891 expfactor=0.175  seeing=1.154
510905 expfactor=0.105  seeing=1.180
510906 expfactor=0.266  seeing=1.113
510910 expfactor=0.149  seeing=1.223
510922 expfactor=0.299  seeing=1.003
510926 expfactor=0.182  seeing=1.109
510928 expfactor=0.265  seeing=0.970
510945 expfactor=0.255  seeing=1.457

520012  3       Vsub not working
520189 expfactor=0.268  seeing=1.924
522012 expfactor=0.278  seeing=1.443
522055  3       pointing moved
522060 expfactor=0.279  seeing=1.497
522078 expfactor=0.049  seeing=2.104
522084 expfactor=0.039  seeing=1.669
522085 expfactor=0.042  seeing=1.916
522106 expfactor=0.023  seeing=1.696
522107 expfactor=0.254  seeing=1.500
522111 expfactor=0.050  seeing=1.172
522112 expfactor=0.094  seeing=1.348
522113 expfactor=0.238  seeing=1.414
535091 expfactor=0.175  seeing=1.572
535092 expfactor=0.220  seeing=1.478
535093 expfactor=0.285  seeing=1.390
535094 expfactor=0.290  seeing=1.640
535142 expfactor=0.122  seeing=2.221
535143 expfactor=0.147  seeing=1.994
535144 expfactor=0.252  seeing=1.774
535145 expfactor=0.248  seeing=1.803
535197  3       pointing moved
535355  3       shutter control failed. Image not taken
535471 expfactor=0.067  seeing=4.031
535472 expfactor=0.077  seeing=3.840
535473 expfactor=0.132  seeing=3.153
535474 expfactor=0.173  seeing=2.909
535475 expfactor=0.318  seeing=2.615
535478 expfactor=0.638  seeing=2.533
535479 expfactor=0.532  seeing=2.681
535494 expfactor=0.524  seeing=2.524
535497 expfactor=0.479  seeing=2.679
535498 expfactor=0.347  seeing=3.070
535501 expfactor=0.514  seeing=2.559
535577 expfactor=0.297  seeing=2.293
535578  3       depth factor < 0.4 because seeing blew up
535579  3       depth factor < 0.4 because seeing blew up
535872  3       depth factor < 0.2 because 23sec exposure
535873  3       depth factor < 0.2 because 23sec exposure
535874  3       depth factor < 0.2 because 23sec exposure
536280  3       depth factor < 0.3 because of clouds
536281 expfactor=0.043  seeing=1.249
536282 expfactor=0.063  seeing=1.245
536283 expfactor=0.123  seeing=1.211
536284 expfactor=0.217  seeing=1.306
536314  3       transparency < 0.3 and depth factor < 0.3
536315  3       transparency < 0.3 and depth factor < 0.3
536316  3       transparency < 0.3 and depth factor < 0.3
536317  3       transparency < 0.3 and depth factor < 0.3
536318  3       transparency < 0.3 and depth factor < 0.3
536319  3       transparency < 0.3 and depth factor < 0.3
536320  3       transparency < 0.3 and depth factor < 0.3
536321  3       transparency < 0.3 and depth factor < 0.3
536322  3       transparency < 0.3 and depth factor < 0.3
536323  3       transparency < 0.3 and depth factor < 0.3
536324  3       transparency < 0.3 and depth factor < 0.3
536325  3       transparency < 0.3 and depth factor < 0.3
536326  3       transparency < 0.3 and depth factor < 0.3
536327  3       transparency < 0.3 and depth factor < 0.3
536328  3       transparency < 0.3 and depth factor < 0.3
536329  3       transparency < 0.3 and depth factor < 0.3
536330  3       transparency < 0.3 and depth factor < 0.3
536331  3       transparency < 0.3 and depth factor < 0.3
536332  3       transparency < 0.3 and depth factor < 0.3
536333  3       transparency < 0.3 and depth factor < 0.3
536334  3       transparency < 0.3 and depth factor < 0.3
536335  3       transparency < 0.3 and depth factor < 0.3
536336  3       transparency < 0.3 and depth factor < 0.3
536337  3       transparency < 0.3 and depth factor < 0.3
536338  3       transparency < 0.3 and depth factor < 0.3
536346 expfactor=0.254  seeing=1.131
536347  3       transparency < 0.3 and depth factor < 0.3
536348  3       transparency < 0.3 and depth factor < 0.3
536349  3       transparency < 0.3 and depth factor < 0.3
536350  3       transparency < 0.3 and depth factor < 0.3
536351  3       transparency < 0.3 and depth factor < 0.3
536354  3       transparency < 0.3 and depth factor < 0.3
536355  3       transparency < 0.3 and depth factor < 0.3
536356  3      clouds; depth factor = 0.00
536357  3      clouds; depth factor = 0.00
536358  3      clouds; depth factor = 0.00
536359 expfactor=0.000  seeing=1.350
536360 expfactor=0.002  seeing=1.146
536361 expfactor=0.017  seeing=1.208
536362 expfactor=0.021  seeing=1.383
536377 expfactor=0.290  seeing=1.179
536379 expfactor=0.258  seeing=1.304
536380 expfactor=0.180  seeing=1.354
536381 expfactor=0.180  seeing=1.401
536391 expfactor=0.274  seeing=1.158
536393 expfactor=0.224  seeing=1.344
536398 expfactor=0.090  seeing=1.221
536409  3      depth factor < 0.1.
536410  3      depth factor < 0.1.
536411  3      depth factor < 0.1.
536412  3      depth factor < 0.1.
536415  3      depth factor < 0.3
547748 expfactor=0.269  seeing=1.735
547749 expfactor=0.269  seeing=1.708
547761 expfactor=0.287  seeing=2.467
548172  3	no guide stars. Maybe ok anyway.
548188  3	no guide stars. Double images. Bad.
548218  3	no guide stars. Double images. Bad.
548256 expfactor=0.283  seeing=1.532
548300 expfactor=0.244  seeing=1.493
